ticker,SGOV,BIL,SHY,QQQ,VUG,MTUM,SPY,EWC,EEM,VGK,USMV
SGOV,1.0004011862676905,0.8483992731946798,0.6546854637116251,-0.9996178435898124,-0.8789776987183849,-0.8145927434462554,-0.7646355748834603,-0.7832403238566248,-0.772880505761065,-0.7395973402724129,-0.6928930620449605
BIL,0.8483992731946798,0.719984988041154,0.5552091652522682,-0.8485864046884898,-0.7461940763289069,-0.6915084890549609,-0.6490771348756982,-0.6648466545160665,-0.6561474284167712,-0.6278591939320951,-0.5880883162196143
SHY,0.6546854637116251,0.5552091652522682,0.43226575970399717,-0.6524921276511767,-0.5737093656982976,-0.5316631784194484,-0.49926091684478424,-0.5114994713650927,-0.5044781529081441,-0.4827412312922522,-0.4526038282846188
QQQ,-0.9996178435898124,-0.8485864046884898,-0.6524921276511767,1.0343512587742405,0.8978004778765003,0.8321865931881753,0.780050270935714,0.7982055984633752,0.7906027784147599,0.7536852300890892,0.7030634991117667
VUG,-0.8789776987183849,-0.7461940763289069,-0.5737093656982976,0.8978004778765003,0.7928831571472795,0.7306532359539166,0.6850445331917986,0.701045589342922,0.6941180984919767,0.6618680058162467,0.6175872295580068
MTUM,-0.8145927434462554,-0.6915084890549609,-0.5316631784194484,0.8321865931881753,0.7306532359539166,0.6834209406235425,0.6349210217240225,0.6497104734332657,0.6434600481985938,0.6135271311547088,0.5723622872254662
SPY,-0.7646355748834603,-0.6490771348756982,-0.49926091684478424,0.780050270935714,0.6850445331917986,0.6349210217240225,0.5995075298865831,0.6093436474635298,0.6033753985576267,0.5753846635417652,0.5368850480274316
EWC,-0.7832403238566248,-0.6648466545160665,-0.5114994713650927,0.7982055984633752,0.701045589342922,0.6497104734332657,0.6093436474635298,0.6393786686436342,0.6175330010994565,0.5888191869834896,0.549480683821765
EEM,-0.772880505761065,-0.6561474284167712,-0.5044781529081441,0.7906027784147599,0.6941180984919767,0.6434600481985938,0.6033753985576267,0.6175330010994565,0.6337383957301176,0.5827715241401846,0.543744732130421
VGK,-0.7395973402724129,-0.6278591939320951,-0.4827412312922522,0.7536852300890892,0.6618680058162467,0.6135271311547088,0.5753846635417652,0.5888191869834896,0.5827715241401846,0.5655979964669875,0.5190419340336929
USMV,-0.6928930620449605,-0.5880883162196143,-0.4526038282846188,0.7030634991117667,0.6175872295580068,0.5723622872254662,0.5368850480274316,0.549480683821765,0.543744732130421,0.5190419340336929,0.4874746895032937
